Index,Product Info
1,Sukienka
2,Sukienka
3,Other
4,Koszula
5,Koszula
6,Other
7,Sukienka
8,Sukienka
9,Sweter
10,Sweter
11,Sweter
12,Sweter
13,Sweter
14,Sweter
15,Koszula
16,Koszula
17,Other
18,Sukienka
19,Sweter
20,Sweter
21,Other
22,Other
23,Sukienka
24,Other
25,Other
26,Other
27,Other
28,Bluzka
29,Other
30,Other
31,Other
32,Sweter
33,Sukienka
34,Sukienka
35,Other
36,Other
37,Other
38,Other
39,Other
40,Koszula
41,Koszula
42,Other
43,Koszula
44,Bluzka
45,Bluzka
46,Bluzka
47,Bluzka
48,Bluzka
49,Sweter
50,Other
51,Other
52,Spódnica
53,Koszula
54,Koszula
55,Other
56,Spódnica
57,Other
58,Koszula
59,Koszula
60,Koszula
61,Bluzka
62,Bluzka
63,Bluzka
64,Sweter
65,Sweter
66,Sweter
67,Sweter
68,Sweter
69,Bluzka
70,Sweter
71,Sweter
72,Sweter
73,Other
74,Other
75,Other
76,Sweter
77,Sukienka
78,Sweter
79,Sweter
80,Sweter
81,Other
82,Bluzka
83,Bluzka
84,Sweter
85,Bluzka
86,Sweter
87,Spodnie
88,Koszula
89,Jeansy
90,Spodnie
91,Sweter
92,Other
93,Other
94,Koszula
95,Cienki sweter
96,Cienki sweter
97,Cienki sweter
98,Spodnie
99,Spodnie
100,Sweter
