Product Type,Date of scrap,Product ID,Discount Type,Product Price before discount,Product Price,Product Size,Product Link
Garnitur,2024-01-14,27795,Rabat -30%. Kod: EXTRA30,,409.98,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-27795-Garnitur-w-delikatne-paski.html
Other,2024-01-14,26964,Rabat -30%. Kod: EXTRA30,,259.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-26964-Dluga-pikowna-kurtka-z-kapturem-biala.html
Other,2024-01-14,26959,Rabat -30%. Kod: EXTRA30,,129.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-26959-Gladka-koszula-z-dlugimi-rekawami-i-kolnierzykiem-biala.html
Sweter,2024-01-14,26712,Rabat -30%. Kod: EXTRA30,,119.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-26712-Sweter-w-szerokie-pasy-z-krotkimi-rekawami-i-dekoltem-w-serek-bezowy.html
Sweter,2024-01-14,26664,Rabat -30%. Kod: EXTRA30,,119.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-26664-Sweter-w-szerokie-pasy-z-dekoltem-w-serek-i-kolnierzykiem-czarno-bialy.html
Sweter,2024-01-14,26665,Rabat -30%. Kod: EXTRA30,,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-26665-Sweter-w-paski-z-polgolfem-i-krotkimi-rekawami-czarny.html
Other,2024-01-14,26644,Rabat -30%. Kod: EXTRA30,,119.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-26644-Azurowy-sweter-z-szerokimi-rekawami-i-okraglym-dekoltem-bezowy.html
Garnitur,2024-01-14,25046,Rabat -30%. Kod: EXTRA30,,159.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25046-Garniturowe-spodnie-z-podwinietymi-nogawkami-w-kant-szare.html
Bluza,2024-01-14,25037,Rabat -30%. Kod: EXTRA30,,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25037-Bluza-z-rekawami-3-4-czarna.html
Bluza,2024-01-14,25038,Rabat -30%. Kod: EXTRA30,,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25038-Bluza-z-rekawami-3-4-biala.html
Garnitur,2024-01-14,24892,Rabat -30%. Kod: EXTRA30,,159.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24892-Garniturowe-spodnie-z-prostymi-nogawkami-i-kieszeniami-szare.html
Bluzka,2024-01-14,24894,Rabat -30%. Kod: EXTRA30,,59.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24894-Bluzka-w-paski-biala.html
Marynarka,2024-01-14,24888,Rabat -30%. Kod: EXTRA30,,249.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24888-Marynarka-jednorzedowa-w-delikatne-paski-szara.html
Other,2024-01-14,24670,Rabat -30%. Kod: EXTRA30,,49.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24670-Gladki-t-shirt-z-podwijanymi-rekawami-czarny.html
